Geneid	Chr	Start	End	Strand	Length	0
CDR20291_RS09910	NC_013316.1	2114415	2115572	+	1158	0
CDR20291_RS19495	NC_013316.1	2115594	2115746	+	153	0
CDR20291_RS09915	NC_013316.1	2115739	2116629	+	891	0
CDR20291_RS09920	NC_013316.1	2116648	2117925	+	1278	0
CDR20291_RS09925	NC_013316.1	2117935	2118591	+	657	0
CDR20291_RS09930	NC_013316.1	2118591	2119967	+	1377	0
CDR20291_RS09935	NC_013316.1	2120065	2120718	+	654	0
CDR20291_RS09940	NC_013316.1	2120715	2122034	+	1320	0
CDR20291_RS09945	NC_013316.1	2122558	2122968	+	411	0
CDR20291_RS09950	NC_013316.1	2123457	2123609	+	153	0
CDR20291_RS09960	NC_013316.1	2123710	2128632	+	4923	0
CDR20291_RS09965	NC_013316.1	2129089	2129436	+	348	0
CDR20291_RS09970	NC_013316.1	2129586	2130635	-	1050	0
CDR20291_RS09975	NC_013316.1	2131021	2131755	+	735	0
CDR20291_RS09980	NC_013316.1	2131897	2132388	-	492	0
CDR20291_RS09985	NC_013316.1	2132737	2133120	+	384	0
CDR20291_RS09990	NC_013316.1	2133626	2134009	+	384	0
CDR20291_RS09995	NC_013316.1	2134011	2134361	+	351	0
CDR20291_RS10000	NC_013316.1	2134455	2134913	-	459	0
CDR20291_RS10005	NC_013316.1	2134958	2135746	-	789	0
CDR20291_RS10010	NC_013316.1	2135885	2136322	-	438	0
CDR20291_RS19300	NC_013316.1	2136556	2136690	-	135	0
CDR20291_RS10015	NC_013316.1	2137144	2137653	+	510	0
CDR20291_RS10020	NC_013316.1	2138564	2139364	-	801	0
CDR20291_RS10025	NC_013316.1	2139559	2141157	-	1599	0
CDR20291_RS10030	NC_013316.1	2141485	2141661	+	177	0
CDR20291_RS10035	NC_013316.1	2141835	2142965	+	1131	0
CDR20291_RS10040	NC_013316.1	2143206	2143556	+	351	0
CDR20291_RS10045	NC_013316.1	2143564	2144013	+	450	0
CDR20291_RS10050	NC_013316.1	2144115	2144690	+	576	0
CDR20291_RS10055	NC_013316.1	2144683	2146092	+	1410	0
CDR20291_RS10060	NC_013316.1	2146276	2147709	+	1434	0
CDR20291_RS10065	NC_013316.1	2147727	2149091	+	1365	0
CDR20291_RS10070	NC_013316.1	2149104	2149985	+	882	0
CDR20291_RS10075	NC_013316.1	2150005	2150658	+	654	1
CDR20291_RS19305	NC_013316.1	2150669	2151370	+	702	1
CDR20291_RS10085	NC_013316.1	2151373	2152842	+	1470	0
CDR20291_RS10090	NC_013316.1	2152938	2153225	+	288	0
CDR20291_RS10095	NC_013316.1	2153352	2154113	+	762	0
CDR20291_RS10100	NC_013316.1	2154126	2154755	+	630	0
CDR20291_RS10105	NC_013316.1	2154797	2155522	+	726	0
CDR20291_RS10110	NC_013316.1	2155535	2155807	+	273	0
CDR20291_RS10115	NC_013316.1	2155800	2156351	+	552	0
CDR20291_RS10120	NC_013316.1	2156363	2157454	+	1092	0
CDR20291_RS10125	NC_013316.1	2157456	2157929	+	474	0
CDR20291_RS19500	NC_013316.1	2158049	2158144	-	96	0
CDR20291_RS10135	NC_013316.1	2158445	2158966	+	522	0
CDR20291_RS10140	NC_013316.1	2159345	2160520	+	1176	0
CDR20291_RS10145	NC_013316.1	2160555	2162093	+	1539	0
CDR20291_RS10150	NC_013316.1	2162125	2163327	+	1203	0
CDR20291_RS10155	NC_013316.1	2163506	2164105	-	600	0
CDR20291_RS10160	NC_013316.1	2164274	2165632	+	1359	0
CDR20291_RS10165	NC_013316.1	2165625	2166257	+	633	0
CDR20291_RS10170	NC_013316.1	2166586	2167743	+	1158	0
CDR20291_RS10175	NC_013316.1	2167891	2168526	-	636	0
CDR20291_RS10180	NC_013316.1	2168630	2169757	-	1128	0
CDR20291_RS10185	NC_013316.1	2170079	2170924	-	846	0
CDR20291_RS10190	NC_013316.1	2170954	2171325	-	372	0
CDR20291_RS10195	NC_013316.1	2171478	2171738	-	261	0
CDR20291_RS10200	NC_013316.1	2171927	2172871	-	945	0
CDR20291_RS10205	NC_013316.1	2172892	2173746	-	855	0
CDR20291_RS10210	NC_013316.1	2173761	2175122	-	1362	0
CDR20291_RS10215	NC_013316.1	2175138	2175590	-	453	0
CDR20291_RS10220	NC_013316.1	2175860	2176306	-	447	0
CDR20291_RS10225	NC_013316.1	2176581	2176859	+	279	0
CDR20291_RS10230	NC_013316.1	2176988	2177719	-	732	0
CDR20291_RS10235	NC_013316.1	2177863	2178507	-	645	0
CDR20291_RS10240	NC_013316.1	2178645	2178965	-	321	0
CDR20291_RS10245	NC_013316.1	2179418	2179843	-	426	0
CDR20291_RS10250	NC_013316.1	2179996	2180457	-	462	0
CDR20291_RS10255	NC_013316.1	2180495	2181328	-	834	0
CDR20291_RS10260	NC_013316.1	2181601	2182287	-	687	0
CDR20291_RS10265	NC_013316.1	2182302	2184779	-	2478	0
CDR20291_RS10270	NC_013316.1	2184999	2186351	-	1353	0
CDR20291_RS10275	NC_013316.1	2186901	2187761	+	861	0
CDR20291_RS10280	NC_013316.1	2188001	2188558	-	558	0
CDR20291_RS10285	NC_013316.1	2188748	2189635	-	888	0
CDR20291_RS10290	NC_013316.1	2189754	2190953	+	1200	0
CDR20291_RS10295	NC_013316.1	2191147	2193702	-	2556	0
CDR20291_RS10300	NC_013316.1	2193699	2194385	-	687	0
CDR20291_RS10305	NC_013316.1	2194462	2195370	-	909	0
CDR20291_RS10310	NC_013316.1	2195372	2196043	-	672	0
CDR20291_RS10315	NC_013316.1	2196305	2197369	+	1065	0
CDR20291_RS10320	NC_013316.1	2197527	2198213	+	687	0
CDR20291_RS10325	NC_013316.1	2198203	2199234	+	1032	0
CDR20291_RS10330	NC_013316.1	2199316	2199981	+	666	0
CDR20291_RS10335	NC_013316.1	2199994	2202411	+	2418	0
CDR20291_RS10340	NC_013316.1	2202592	2203383	-	792	0
CDR20291_RS10345	NC_013316.1	2203416	2204003	-	588	0
CDR20291_RS10350	NC_013316.1	2204180	2205571	-	1392	0
CDR20291_RS10355	NC_013316.1	2205761	2207059	-	1299	0
CDR20291_RS10360	NC_013316.1	2207420	2208295	-	876	0
CDR20291_RS10365	NC_013316.1	2208488	2209174	-	687	0
CDR20291_RS10370	NC_013316.1	2209223	2209756	-	534	0
CDR20291_RS10375	NC_013316.1	2209800	2210432	-	633	0
CDR20291_RS10380	NC_013316.1	2210522	2211601	-	1080	0
CDR20291_RS10385	NC_013316.1	2211734	2213080	-	1347	0
CDR20291_RS10390	NC_013316.1	2213149	2214429	-	1281	0
CDR20291_RS10395	NC_013316.1	2214556	2214816	-	261	0
CDR20291_RS10400	NC_013316.1	2214930	2215865	-	936	0
CDR20291_RS10405	NC_013316.1	2215903	2217870	-	1968	0
CDR20291_RS10410	NC_013316.1	2217881	2220724	-	2844	0
CDR20291_RS10415	NC_013316.1	2220887	2221621	-	735	0
CDR20291_RS10420	NC_013316.1	2221590	2222603	-	1014	0
CDR20291_RS10425	NC_013316.1	2222625	2223395	-	771	0
CDR20291_RS10430	NC_013316.1	2223370	2223660	-	291	0
CDR20291_RS10435	NC_013316.1	2224652	2224828	+	177	0
CDR20291_RS10440	NC_013316.1	2224943	2225299	-	357	0
CDR20291_RS10445	NC_013316.1	2226030	2227148	+	1119	0
CDR20291_RS10460	NC_013316.1	2228582	2229193	+	612	0
CDR20291_RS10465	NC_013316.1	2229491	2229829	+	339	0
CDR20291_RS10470	NC_013316.1	2230236	2231672	-	1437	0
CDR20291_RS10475	NC_013316.1	2231920	2233356	-	1437	0
CDR20291_RS10480	NC_013316.1	2234183	2234734	-	552	0
CDR20291_RS10485	NC_013316.1	2235714	2235983	-	270	0
CDR20291_RS10490	NC_013316.1	2236339	2236824	-	486	0
CDR20291_RS19170	NC_013316.1	2237557	2237739	-	183	0
CDR20291_RS10500	NC_013316.1	2238118	2238294	+	177	0
CDR20291_RS10505	NC_013316.1	2238520	2238720	+	201	0
CDR20291_RS10510	NC_013316.1	2238884	2239162	-	279	0
CDR20291_RS10515	NC_013316.1	2239405	2239587	+	183	0
CDR20291_RS10520	NC_013316.1	2239658	2240503	+	846	0
CDR20291_RS10525	NC_013316.1	2240727	2240891	-	165	0
CDR20291_RS10530	NC_013316.1	2241433	2241765	-	333	0
CDR20291_RS10535	NC_013316.1	2242009	2242650	-	642	0
CDR20291_RS10540	NC_013316.1	2242631	2242924	-	294	0
CDR20291_RS19310	NC_013316.1	2243548	2243682	-	135	0
CDR20291_RS10550	NC_013316.1	2243893	2244549	-	657	0
CDR20291_RS19420	NC_013316.1	2244506	2244646	-	141	0
CDR20291_RS10560	NC_013316.1	2244705	2246360	-	1656	0
CDR20291_RS10565	NC_013316.1	2246589	2246957	-	369	0
CDR20291_RS10570	NC_013316.1	2247106	2247900	+	795	0
CDR20291_RS10575	NC_013316.1	2248053	2248481	-	429	0
CDR20291_RS10580	NC_013316.1	2248957	2249895	-	939	0
CDR20291_RS10585	NC_013316.1	2250239	2251894	-	1656	0
CDR20291_RS10590	NC_013316.1	2252218	2252517	-	300	0
CDR20291_RS10595	NC_013316.1	2252777	2253457	+	681	0
CDR20291_RS10600	NC_013316.1	2253567	2253824	-	258	0
CDR20291_RS10605	NC_013316.1	2254373	2254744	+	372	0
CDR20291_RS10610	NC_013316.1	2254741	2254881	-	141	0
CDR20291_RS10615	NC_013316.1	2255546	2256442	-	897	0
CDR20291_RS10620	NC_013316.1	2256584	2258011	+	1428	0
CDR20291_RS10625	NC_013316.1	2258208	2260802	-	2595	0
CDR20291_RS10630	NC_013316.1	2260839	2261435	-	597	0
CDR20291_RS10635	NC_013316.1	2261452	2261856	-	405	0
CDR20291_RS10640	NC_013316.1	2262222	2262596	+	375	0
CDR20291_RS10645	NC_013316.1	2262602	2263456	+	855	0
CDR20291_RS10650	NC_013316.1	2263456	2264094	+	639	0
CDR20291_RS10655	NC_013316.1	2264588	2265001	+	414	0
CDR20291_RS10660	NC_013316.1	2265192	2266409	+	1218	0
CDR20291_RS10665	NC_013316.1	2266571	2267269	+	699	0
CDR20291_RS10670	NC_013316.1	2267489	2268106	-	618	0
CDR20291_RS10675	NC_013316.1	2268233	2269255	-	1023	0
CDR20291_RS10680	NC_013316.1	2269364	2270551	-	1188	0
CDR20291_RS10685	NC_013316.1	2270581	2271441	-	861	0
CDR20291_RS10690	NC_013316.1	2271456	2272673	-	1218	0
CDR20291_RS10695	NC_013316.1	2272715	2273749	-	1035	0
CDR20291_RS10700	NC_013316.1	2274439	2275203	-	765	0
CDR20291_RS10705	NC_013316.1	2275506	2275979	+	474	0
CDR20291_RS10710	NC_013316.1	2276348	2276905	-	558	0
CDR20291_RS10715	NC_013316.1	2277163	2277861	+	699	0
CDR20291_RS10720	NC_013316.1	2278883	2279350	+	468	0
CDR20291_RS10725	NC_013316.1	2279361	2279576	+	216	0
CDR20291_RS10730	NC_013316.1	2280016	2280189	+	174	0
CDR20291_RS10735	NC_013316.1	2280346	2280630	-	285	0
CDR20291_RS10740	NC_013316.1	2282255	2283127	-	873	0
CDR20291_RS10745	NC_013316.1	2283521	2284099	-	579	0
CDR20291_RS10750	NC_013316.1	2284157	2284873	-	717	0
CDR20291_RS10755	NC_013316.1	2285064	2286149	+	1086	0
CDR20291_RS10760	NC_013316.1	2286304	2286963	-	660	0
CDR20291_RS10765	NC_013316.1	2287180	2288472	-	1293	0
CDR20291_RS10770	NC_013316.1	2288490	2289683	-	1194	0
CDR20291_RS10775	NC_013316.1	2290044	2290661	-	618	0
CDR20291_RS10780	NC_013316.1	2290831	2292531	-	1701	0
CDR20291_RS10785	NC_013316.1	2292928	2293491	-	564	0
CDR20291_RS10790	NC_013316.1	2293650	2294363	-	714	0
CDR20291_RS10795	NC_013316.1	2294655	2296319	+	1665	0
CDR20291_RS10800	NC_013316.1	2296426	2297325	-	900	0
CDR20291_RS10805	NC_013316.1	2297352	2297990	-	639	0
CDR20291_RS10810	NC_013316.1	2298326	2299324	-	999	0
CDR20291_RS10815	NC_013316.1	2299422	2299997	-	576	0
CDR20291_RS10820	NC_013316.1	2300313	2300576	+	264	0
CDR20291_RS10825	NC_013316.1	2301005	2301382	-	378	0
CDR20291_RS10830	NC_013316.1	2301723	2302835	+	1113	0
CDR20291_RS10835	NC_013316.1	2303043	2303519	-	477	0
CDR20291_RS10840	NC_013316.1	2303718	2305343	-	1626	0
CDR20291_RS10845	NC_013316.1	2305681	2306700	-	1020	0
CDR20291_RS10850	NC_013316.1	2306697	2307266	-	570	0
CDR20291_RS10855	NC_013316.1	2307373	2308095	-	723	0
CDR20291_RS10860	NC_013316.1	2308278	2309555	-	1278	0
CDR20291_RS10865	NC_013316.1	2309694	2312000	-	2307	0
CDR20291_RS10870	NC_013316.1	2311993	2312787	-	795	0
CDR20291_RS10875	NC_013316.1	2312893	2314251	-	1359	0
CDR20291_RS10880	NC_013316.1	2315598	2316683	-	1086	0
CDR20291_RS10885	NC_013316.1	2316919	2318004	-	1086	0
CDR20291_RS10890	NC_013316.1	2318040	2319353	-	1314	0
CDR20291_RS10895	NC_013316.1	2319354	2321645	-	2292	0
CDR20291_RS10900	NC_013316.1	2321635	2322429	-	795	0
CDR20291_RS10905	NC_013316.1	2322468	2322914	-	447	0
CDR20291_RS10910	NC_013316.1	2322986	2324392	-	1407	0
CDR20291_RS10915	NC_013316.1	2324410	2325780	-	1371	0
CDR20291_RS10920	NC_013316.1	2325913	2327100	-	1188	0
CDR20291_RS10925	NC_013316.1	2327227	2328441	-	1215	0
CDR20291_RS10930	NC_013316.1	2328804	2329475	-	672	0
CDR20291_RS10935	NC_013316.1	2329558	2331774	-	2217	0
CDR20291_RS10940	NC_013316.1	2331777	2332247	-	471	0
CDR20291_RS10945	NC_013316.1	2332309	2333703	-	1395	0
CDR20291_RS10950	NC_013316.1	2333776	2335137	-	1362	0
CDR20291_RS10955	NC_013316.1	2335435	2336757	-	1323	0
CDR20291_RS10960	NC_013316.1	2337113	2338153	-	1041	0
CDR20291_RS10965	NC_013316.1	2338480	2339748	-	1269	0
CDR20291_RS10970	NC_013316.1	2339741	2341675	-	1935	0
CDR20291_RS10975	NC_013316.1	2341704	2342426	-	723	0
CDR20291_RS10980	NC_013316.1	2342476	2343462	-	987	0
CDR20291_RS10985	NC_013316.1	2343519	2344019	-	501	0
CDR20291_RS10990	NC_013316.1	2344305	2344616	-	312	0
CDR20291_RS10995	NC_013316.1	2344756	2347020	-	2265	0
CDR20291_RS11000	NC_013316.1	2347024	2347473	-	450	0
CDR20291_RS11005	NC_013316.1	2347473	2348261	-	789	0
CDR20291_RS11010	NC_013316.1	2348456	2349724	-	1269	4
CDR20291_RS11015	NC_013316.1	2350065	2350226	-	162	0
CDR20291_RS11020	NC_013316.1	2350375	2351457	-	1083	0
CDR20291_RS11025	NC_013316.1	2351560	2353155	-	1596	0
CDR20291_RS11030	NC_013316.1	2353202	2353909	-	708	0
CDR20291_RS11035	NC_013316.1	2354161	2355306	+	1146	0
CDR20291_RS11040	NC_013316.1	2355420	2356796	-	1377	2
CDR20291_RS11045	NC_013316.1	2357242	2358588	+	1347	0
CDR20291_RS11050	NC_013316.1	2358666	2360060	+	1395	0
CDR20291_RS11055	NC_013316.1	2360182	2360856	-	675	0
CDR20291_RS11060	NC_013316.1	2361130	2361894	+	765	0
CDR20291_RS11065	NC_013316.1	2362182	2362403	-	222	0
CDR20291_RS11070	NC_013316.1	2362804	2364081	-	1278	0
CDR20291_RS11075	NC_013316.1	2364065	2364733	-	669	0
CDR20291_RS11080	NC_013316.1	2364893	2367394	-	2502	0
CDR20291_RS11085	NC_013316.1	2367685	2367876	-	192	0
CDR20291_RS11090	NC_013316.1	2368023	2368265	-	243	0
CDR20291_RS11095	NC_013316.1	2368477	2370300	+	1824	18
CDR20291_RS11100	NC_013316.1	2370390	2371298	-	909	0
CDR20291_RS11105	NC_013316.1	2372439	2373920	+	1482	0
CDR20291_RS11110	NC_013316.1	2373930	2374823	+	894	0
CDR20291_RS11115	NC_013316.1	2374953	2376008	+	1056	0
CDR20291_RS11120	NC_013316.1	2376163	2376675	-	513	0
CDR20291_RS11125	NC_013316.1	2377195	2378130	+	936	0
CDR20291_RS11130	NC_013316.1	2378222	2380093	-	1872	0
CDR20291_RS11135	NC_013316.1	2380284	2381210	+	927	0
CDR20291_RS11140	NC_013316.1	2381349	2381495	+	147	0
CDR20291_RS11145	NC_013316.1	2381600	2382124	-	525	0
CDR20291_RS11150	NC_013316.1	2382177	2382401	-	225	0
CDR20291_RS19315	NC_013316.1	2382598	2382858	+	261	0
CDR20291_RS11155	NC_013316.1	2382906	2383721	+	816	0
CDR20291_RS11160	NC_013316.1	2384194	2385018	-	825	0
CDR20291_RS11165	NC_013316.1	2385366	2386421	-	1056	0
CDR20291_RS11170	NC_013316.1	2386604	2387608	-	1005	0
CDR20291_RS11175	NC_013316.1	2387621	2388775	-	1155	0
CDR20291_RS11180	NC_013316.1	2388939	2389142	-	204	0
CDR20291_RS11185	NC_013316.1	2389479	2390060	+	582	0
CDR20291_RS11190	NC_013316.1	2390148	2391959	-	1812	0
CDR20291_RS11195	NC_013316.1	2392783	2393562	-	780	0
CDR20291_RS11200	NC_013316.1	2393575	2394309	-	735	0
CDR20291_RS11205	NC_013316.1	2394338	2394541	-	204	0
CDR20291_RS11210	NC_013316.1	2394544	2395101	-	558	0
CDR20291_RS11215	NC_013316.1	2395127	2395831	-	705	2
CDR20291_RS11220	NC_013316.1	2395916	2396827	-	912	0
CDR20291_RS11225	NC_013316.1	2396906	2397619	-	714	0
CDR20291_RS11230	NC_013316.1	2397826	2399010	-	1185	0
CDR20291_RS11235	NC_013316.1	2399114	2400172	-	1059	0
CDR20291_RS11240	NC_013316.1	2400386	2401030	-	645	0
CDR20291_RS11245	NC_013316.1	2401215	2401838	+	624	0
CDR20291_RS11250	NC_013316.1	2401901	2403811	-	1911	0
CDR20291_RS11255	NC_013316.1	2404348	2405415	-	1068	0
CDR20291_RS11260	NC_013316.1	2405661	2406644	-	984	0
CDR20291_RS11265	NC_013316.1	2406915	2408174	-	1260	0
CDR20291_RS11270	NC_013316.1	2408413	2409042	-	630	0
CDR20291_RS11275	NC_013316.1	2409235	2409396	-	162	0
CDR20291_RS11280	NC_013316.1	2409739	2410899	-	1161	0
CDR20291_RS11285	NC_013316.1	2411369	2412409	+	1041	0
CDR20291_RS11290	NC_013316.1	2412790	2413041	+	252	0
CDR20291_RS11295	NC_013316.1	2413056	2414264	+	1209	0
CDR20291_RS11300	NC_013316.1	2414300	2415385	+	1086	0
CDR20291_RS11305	NC_013316.1	2415386	2416762	+	1377	0
CDR20291_RS11310	NC_013316.1	2416853	2417281	+	429	0
CDR20291_RS11315	NC_013316.1	2417356	2418675	-	1320	0
CDR20291_RS11320	NC_013316.1	2418967	2419752	-	786	0
CDR20291_RS11325	NC_013316.1	2419867	2420826	-	960	0
CDR20291_RS11330	NC_013316.1	2420984	2421301	-	318	0
CDR20291_RS11335	NC_013316.1	2421408	2421911	-	504	0
CDR20291_RS11340	NC_013316.1	2421963	2423162	-	1200	0
CDR20291_RS11345	NC_013316.1	2423422	2423610	-	189	0
CDR20291_RS11350	NC_013316.1	2423945	2424913	+	969	0
CDR20291_RS11355	NC_013316.1	2425030	2426160	-	1131	0
CDR20291_RS11360	NC_013316.1	2426313	2427266	-	954	0
CDR20291_RS11365	NC_013316.1	2427390	2428295	-	906	0
CDR20291_RS11370	NC_013316.1	2428659	2430251	-	1593	0
CDR20291_RS11375	NC_013316.1	2430311	2431036	-	726	0
CDR20291_RS11380	NC_013316.1	2431177	2431905	+	729	0
CDR20291_RS11390	NC_013316.1	2433932	2434681	-	750	0
CDR20291_RS11395	NC_013316.1	2434790	2435965	-	1176	0
CDR20291_RS11400	NC_013316.1	2436098	2436895	-	798	0
CDR20291_RS11405	NC_013316.1	2436955	2437617	-	663	0
CDR20291_RS11410	NC_013316.1	2437853	2438521	-	669	0
CDR20291_RS11415	NC_013316.1	2438514	2439317	-	804	0
CDR20291_RS11420	NC_013316.1	2439724	2440146	-	423	0
CDR20291_RS11425	NC_013316.1	2440160	2442337	-	2178	0
CDR20291_RS11430	NC_013316.1	2442618	2445797	+	3180	0
CDR20291_RS11435	NC_013316.1	2446082	2446846	-	765	0
CDR20291_RS11440	NC_013316.1	2447083	2448576	-	1494	0
CDR20291_RS11445	NC_013316.1	2448901	2449443	-	543	0
CDR20291_RS11450	NC_013316.1	2449733	2450680	-	948	0
CDR20291_RS11455	NC_013316.1	2450708	2451199	-	492	0
CDR20291_RS11460	NC_013316.1	2451433	2453733	-	2301	0
CDR20291_RS11465	NC_013316.1	2453781	2454674	-	894	0
CDR20291_RS11470	NC_013316.1	2454900	2457185	-	2286	0
CDR20291_RS11475	NC_013316.1	2457182	2457862	-	681	0
CDR20291_RS11480	NC_013316.1	2458086	2459969	-	1884	0
CDR20291_RS11485	NC_013316.1	2460227	2461048	-	822	0
CDR20291_RS11490	NC_013316.1	2461239	2461592	-	354	0
CDR20291_RS11495	NC_013316.1	2461634	2463076	-	1443	0
CDR20291_RS11500	NC_013316.1	2463752	2464963	+	1212	0
CDR20291_RS11505	NC_013316.1	2465055	2465570	+	516	0
CDR20291_RS11510	NC_013316.1	2465837	2467936	-	2100	0
CDR20291_RS11515	NC_013316.1	2468060	2468599	-	540	0
CDR20291_RS11520	NC_013316.1	2468602	2469342	-	741	0
CDR20291_RS11525	NC_013316.1	2469344	2470393	-	1050	0
CDR20291_RS11530	NC_013316.1	2470410	2470628	-	219	0
CDR20291_RS11535	NC_013316.1	2470661	2471764	-	1104	0
CDR20291_RS11540	NC_013316.1	2471867	2473297	-	1431	0
CDR20291_RS11545	NC_013316.1	2473955	2475319	+	1365	0
CDR20291_RS11550	NC_013316.1	2475343	2475996	+	654	0
CDR20291_RS11555	NC_013316.1	2476115	2476897	-	783	0
CDR20291_RS11560	NC_013316.1	2477014	2478180	-	1167	0
CDR20291_RS11565	NC_013316.1	2478319	2479683	-	1365	0
CDR20291_RS11570	NC_013316.1	2479995	2480519	-	525	0
CDR20291_RS11575	NC_013316.1	2480569	2481066	-	498	0
CDR20291_RS11580	NC_013316.1	2481299	2482570	-	1272	0
CDR20291_RS11585	NC_013316.1	2483295	2485127	-	1833	0
CDR20291_RS11590	NC_013316.1	2485120	2487366	-	2247	0
CDR20291_RS11595	NC_013316.1	2487434	2487895	-	462	0
CDR20291_RS11600	NC_013316.1	2488200	2488766	-	567	0
CDR20291_RS11605	NC_013316.1	2489453	2489791	+	339	0
CDR20291_RS11610	NC_013316.1	2489792	2490130	+	339	0
CDR20291_RS11615	NC_013316.1	2490280	2490957	+	678	0
CDR20291_RS11620	NC_013316.1	2491285	2492052	-	768	0
CDR20291_RS11625	NC_013316.1	2492858	2493490	+	633	0
CDR20291_RS11630	NC_013316.1	2493861	2494730	-	870	0
CDR20291_RS11635	NC_013316.1	2494827	2495684	-	858	0
CDR20291_RS11640	NC_013316.1	2495899	2497917	-	2019	0
CDR20291_RS11645	NC_013316.1	2498188	2498964	-	777	0
CDR20291_RS11650	NC_013316.1	2499021	2499992	-	972	0
CDR20291_RS11655	NC_013316.1	2500005	2500796	-	792	0
CDR20291_RS11660	NC_013316.1	2500797	2501804	-	1008	0
CDR20291_RS11665	NC_013316.1	2502194	2502883	-	690	0
CDR20291_RS11670	NC_013316.1	2502946	2503794	-	849	0
CDR20291_RS11675	NC_013316.1	2503813	2504700	-	888	0
CDR20291_RS11680	NC_013316.1	2504758	2505561	-	804	0
CDR20291_RS11685	NC_013316.1	2505721	2506173	-	453	0
CDR20291_RS11690	NC_013316.1	2506303	2507805	-	1503	0
CDR20291_RS11695	NC_013316.1	2507838	2508719	-	882	0
CDR20291_RS11700	NC_013316.1	2508789	2509460	-	672	0
CDR20291_RS11705	NC_013316.1	2509733	2510224	-	492	0
CDR20291_RS11710	NC_013316.1	2510246	2511610	-	1365	0
CDR20291_RS11715	NC_013316.1	2512029	2513204	+	1176	0
CDR20291_RS11720	NC_013316.1	2513377	2514774	-	1398	0
CDR20291_RS11725	NC_013316.1	2515253	2515447	-	195	0
CDR20291_RS11730	NC_013316.1	2515721	2517394	-	1674	0
CDR20291_RS11735	NC_013316.1	2517404	2520802	-	3399	0
CDR20291_RS11740	NC_013316.1	2520968	2522164	-	1197	0
CDR20291_RS11745	NC_013316.1	2522185	2523006	-	822	0
CDR20291_RS11750	NC_013316.1	2523527	2524564	+	1038	0
CDR20291_RS11755	NC_013316.1	2524715	2525071	+	357	0
CDR20291_RS11760	NC_013316.1	2525164	2526432	-	1269	0
CDR20291_RS11765	NC_013316.1	2526834	2528216	-	1383	0
CDR20291_RS11770	NC_013316.1	2528341	2529027	+	687	0
CDR20291_RS11775	NC_013316.1	2529213	2530748	-	1536	0
CDR20291_RS11780	NC_013316.1	2531023	2532072	+	1050	0
CDR20291_RS11785	NC_013316.1	2532121	2533155	-	1035	0
CDR20291_RS11790	NC_013316.1	2533173	2533520	-	348	0
CDR20291_RS11795	NC_013316.1	2533778	2535160	+	1383	2
CDR20291_RS11800	NC_013316.1	2535241	2537034	-	1794	0
CDR20291_RS11805	NC_013316.1	2537287	2538678	-	1392	2
CDR20291_RS11810	NC_013316.1	2539132	2540274	-	1143	0
CDR20291_RS11815	NC_013316.1	2540385	2541428	-	1044	0
CDR20291_RS11820	NC_013316.1	2541957	2542508	-	552	0
CDR20291_RS11825	NC_013316.1	2542536	2544062	-	1527	0
CDR20291_RS11830	NC_013316.1	2544442	2545404	-	963	0
CDR20291_RS11835	NC_013316.1	2545979	2547898	-	1920	0
CDR20291_RS11840	NC_013316.1	2547935	2548852	-	918	0
CDR20291_RS11845	NC_013316.1	2549019	2550797	-	1779	0
CDR20291_RS11850	NC_013316.1	2550809	2551549	-	741	0
CDR20291_RS11855	NC_013316.1	2551823	2552884	+	1062	0
CDR20291_RS11860	NC_013316.1	2553038	2554291	-	1254	0
CDR20291_RS11865	NC_013316.1	2554395	2556515	-	2121	0
CDR20291_RS11870	NC_013316.1	2557221	2558588	+	1368	0
CDR20291_RS11875	NC_013316.1	2558761	2559408	-	648	0
CDR20291_RS11880	NC_013316.1	2559426	2560112	-	687	0
CDR20291_RS11885	NC_013316.1	2560187	2561245	-	1059	0
CDR20291_RS11890	NC_013316.1	2561589	2562995	-	1407	0
CDR20291_RS11895	NC_013316.1	2563176	2563478	-	303	0
CDR20291_RS11900	NC_013316.1	2563601	2564047	-	447	0
CDR20291_RS11905	NC_013316.1	2564080	2566983	-	2904	0
CDR20291_RS11910	NC_013316.1	2567461	2567883	+	423	0
CDR20291_RS11915	NC_013316.1	2568402	2568779	+	378	0
CDR20291_RS11920	NC_013316.1	2568933	2570030	+	1098	0
CDR20291_RS11925	NC_013316.1	2570138	2571523	+	1386	0
CDR20291_RS11930	NC_013316.1	2571801	2572502	+	702	0
CDR20291_RS11935	NC_013316.1	2572495	2572818	+	324	0
CDR20291_RS11940	NC_013316.1	2573024	2575084	-	2061	0
CDR20291_RS11945	NC_013316.1	2575280	2575972	-	693	0
CDR20291_RS11955	NC_013316.1	2577064	2577441	-	378	0
CDR20291_RS11960	NC_013316.1	2578248	2578742	+	495	0
CDR20291_RS11970	NC_013316.1	2579765	2579953	-	189	0
CDR20291_RS11975	NC_013316.1	2580115	2580465	+	351	0
CDR20291_RS11980	NC_013316.1	2580467	2580667	+	201	0
CDR20291_RS11985	NC_013316.1	2580923	2581822	-	900	0
CDR20291_RS11990	NC_013316.1	2581816	2582487	-	672	0
CDR20291_RS11995	NC_013316.1	2582815	2582991	+	177	0
CDR20291_RS12000	NC_013316.1	2583216	2583416	+	201	0
CDR20291_RS12005	NC_013316.1	2584051	2584863	+	813	0
CDR20291_RS12010	NC_013316.1	2584999	2585664	+	666	0
